title,excerpt,source,date,query,start_period,end_period,region
SK Hynix Promoting Power Plant Construction Near Chip ...,"SK Hynix is promoting the construction of power plants near its 
semiconductor factories as power outages are repeated at semiconductor 
plants every year.",Business Korea,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Chinese team shows extraordinary rad-hardness of SiC - News,"Currently, most semiconductor radiation detectors are based on high quality 
silicon. However, due to its low displacement threshold energy and 
medium ...",Compound Semiconductor,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
New automotive ICE age is coming with AVs,"This shift places semiconductors — the building blocks of a car's internal 
... This shift is forcing an intensifying convergence of the semiconductor 
and ...",Automotive News,20 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Laser Systems & Components Industry Outlook: Prospects Sunny,"The key end-markets are semiconductor, metrology, advanced communication 
and medical devices. Here are the three major themes in the industry: The 
industry is ...",Yahoo Finance,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
NextNext post:WPG Buys 17% Stake in Rival Distributor WT ...,"Data from market researcher Gartner Inc., the World Semiconductor Trade 
Statistics and the Industrial Technology Research Institute showed that WPG 
and WT ...",EPS News,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Apple reportedly taps Taiwan's ASE for mmWave 5G iPhone ...,"Component manufacturer Advanced Semiconductor Engineering (ASE) is reported 
to have become one of Apple's suppliers for the antennas needed on the 
mmWave 5G ...",AppleInsider,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
These U.S. stocks are down the most as the coronavirus spreads,"Travel-related, energy and semiconductor shares are hit the hardest. Riot 
police wear protective masks and stand guard in the Mong Kok district of 
Hong Kong on ...",MarketWatch,27 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Studee.com is set to promote sustainable international ...,"semiconductor chip · The global shortage of semiconductor chips and what 
this means for schools. by Nick Rawkins. Across industries, across 
countries, ...",Education Technology,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Industry Responds Favorably to New Trade Deals,"Canada and Mexico are strong U.S. trading partners in semiconductors and 
are critical players in the semiconductor supply chain. The U.S. has 
solid ...",EPS News,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Global Silicon on Insulator (SOI) Market 2019-2023 | Ongoing ...,"SOI devices also help in achieving a high transistor gain because of its 
shorter gate length compared with bulk planar metal-oxide semiconductor ...",Business Wire,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Why Teradyne Stock Jumped 10.8% This Morning,"The maker of automatic testing tools used by manufacturers of 
semiconductors, circuit boards, and wireless networking modules crushed 
Wall Street's ...",The Motley Fool,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung and TSMC Racing to Become First to Start Volume ...,"The narrower semiconductor circuit lines are, the less power semiconductors 
consume and the better they perform. Compared to 5-nm products, 3-nm 
semiconductors ...",Business Korea,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Extreme greed in the stock market is producing a bad setup as earnings 
season starts","However, semiconductor stocks have had one of the best runs in the hopes of 
a great 2020. Unfortunately, the leading economic indicators do not support 
the ...",MarketWatch,18 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Electronics' Memory Complex Halted due to a ...,"Earlier in March last year, a power outage occurred at Samsung Electronics 
semiconductor plant in Pyeongtaek, causing 50 billion won (US$43 million) 
worth of ...",Business Korea,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
China Only Region to Register Pure-Play Foundry Market ...,"Among the semiconductor industry data included in the new 400+ page report 
is an in-depth analysis of the IC foundry market and its suppliers.",Design And Reuse,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Kasey Ma, Bryan Kang","His father was a director at Integrated Memory Logic, a manufacturer of 
semiconductor devices in San Jose. The couple met in 2014 through the 
dating app ...",The New York Times,19 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Begins 2020 By Winning Three Awards for ...,"Semiconductor · Emerging Technology · See All Product News. Corporate. 
Communities · Workforce · Sustainability · Education · Economic Impact.",Samsung Newsroom,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
[Monitor] Asset values of Samsung Electronics’ shareholders soar,"Samsung Electronics' share price has skyrocketed on the back of a rosy 
outlook for this year's semiconductor business and revitalized smartphone 
market, ...",The Korea Herald,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"With the state's help, Chinese technology is booming","In 2015 its leaders announced a ten-year, $300bn plan, “Made in China 
2025”, designed to make its semiconductor, electric-vehicle and ...",The Economist,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"With its Osram acquisition complete, ams now mulls how to ...","OSRAM Opto Semiconductors. Sep 16th, 2019. Backlight units (BLUs) & 
components for LCDs · OSRAM Opto Semiconductors GmbH. Aug 26th, 2018.",LEDs Magazine,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Highlights of the day: TSMC 7nm lead time remains extended,"SMIC scaling up 14nm chip output: Semiconductor Manufacturing International 
(SMIC) has kicked off volume production of chips built using 14nm FinFET 
process ...",DigiTimes,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
8 Predictions For Tech Stocks In 2020,"5G semiconductors can sell 50% more-dollar chip content per device versus 
the ... Less than fifty percent of semiconductor companies will return to 
growth ...",Forbes,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"S&P 500's most volatile stocks could be worth a look – traders pick two 
favorites","AMD has led the semiconductor space and broader markets in the past year. 
The stock has risen 147% in the past 12 months, while the SMH semiconductor 
ETF is ...",CNBC,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Caltech Wins $1.1 Billion Patent Verdict Against Apple ...,"... centers around wireless technology in Broadcom semiconductor components 
used in a variety of Apple devices, including the iPhone, iPad, Apple 
Watches ...",Los Angeles Business Journal,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
NXP launches new chip with '10 times more processing power ...,"NXP Semiconductors has launched a new processor with “10 times more 
processing power” to support autonomous driving functions.",Robotics & Automation News,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Tech Companies Say the Cannabis Breathalyzer Is Coming But Experts Caution 
It’s Not so Simple","The handheld device is designed to measure the electrical resistance of 
semiconductor-enriched carbon nanotubes that are 100,000 times smaller than 
a human ...",KTLA,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
